intersection_name,d_time,sig_name,sig_status,status_duration,city
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:40,R1,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:40,K3,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:40,K1,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:41,F2,Grün,22.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:41,K3,Grün,13.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:41,K1,Grün,22.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:41,R1,Grün,11.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:41,F4,Grün,10.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:51,F4,Rot,62.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:52,D_HAN_S1,,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:52,R1,Gelb,2.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:53,D_HAN_S1,,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:54,R1,Rot,58.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:54,D_HAN_S1,,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:54,K3,Gelb,3.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:55,S1,RotGelb,3.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:55,D_HAN_S1,Dunkel,1790.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:57,K3,Rot,55.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:01:58,S1,Grün,18.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:03,F2,Rot,50.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:03,K1,Gelb,3.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:06,K1,Rot,46.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:10,K4,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:11,K4,Grün,34.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:11,F3,Grün,32.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:11,KRi1,Grün,10.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:13,D_AB_S1,,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:14,D_AB_S1,,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:15,D_AB_S1,,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:16,S1,Gelb,4.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:16,D_AB_S1,Dunkel,1799.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:20,S1,Rot,298.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:21,KRi1,Gelb,3.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:24,KRi1,Dunkel,1786.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:26,K2,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:27,K2,Grün,16.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:27,F1,Grün,12.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:39,F1,Rot,34.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:43,K2,Gelb,3.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:43,F3,Rot,30.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:45,K4,Gelb,3.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:46,K2,Rot,26.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:48,K4,Rot,24.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:52,R1,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:52,K1,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:52,K3,RotGelb,1.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:53,K3,Grün,12.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:53,F4,Grün,9.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:53,K1,Grün,12.0,Leipzig
Merseburger Straße - Demmeringstraße,2022-10-30 04:02:53,R1,Grün,10.0,Leipzig
